,source_language,split,target_language
3841,"i 'm sorry to bother you , but we 've got a small problem .",train,je suis désolée de t'ennuyer mais nous avons un petit problème .
3842,i 'm concentrating .,train,je suis en train de me concentrer .
3843,"i 'm sorry , i do n't mean to pry .",train,"je suis désolée , je ne veux pas m'immiscer ."
3844,i 'm glad to see you .,train,je suis heureux de te voir .
3845,i 'm proud of you guys .,train,"je suis fier de vous , les gars ."
3846,i 'm psyched .,train,je suis remonté .
3847,i 'm glad you 're doing better .,train,je me réjouis que vous vous portiez mieux .
3848,i 'm quite tired .,train,je suis assez fatiguée .
3849,i 'm not saying that you 're not beautiful .,train,je ne dis pas que tu n'es pas belle .
3850,i 'm astonished by her cleverness .,train,je suis étonné par son habileté .
3851,i 'm too old for this sort of thing .,train,je suis trop vieux pour ce genre de choses .
3852,i 'm looking forward to seeing you in a wedding dress .,train,je suis impatient de vous voir en robe de mariée .
3853,i 'm not a drunk .,train,je ne suis pas un ivrogne .
3854,i 'm as curious as you are .,train,je suis aussi curieuse que toi .
3855,i 'm going crazy .,train,je deviens fou .
3856,i 'm paying .,train,c'est moi qui paie .
3857,i 'm doing it in spite of you .,train,je le fais malgré toi .
3858,i 'm addicted .,train,j'ai une assuétude .
3859,i 'm sure that you 'll succeed .,train,je suis sûr que tu vas réussir .
3860,i 'm going to bed .,train,je vais au lit .
3861,i 'm always very nervous .,train,je suis toujours très nerveux .
3862,i 'm out of ammo .,train,je suis à court de munitions .
3863,i 'm the one that pays all the bills .,train,je suis celui qui paye toutes les factures .
3864,i 'm sorry to have bothered you .,train,je suis désolée de vous avoir dérangées !
3865,"i 'm sorry to disturb you , but there 's a phone call for you .",train,"je suis désolée de te déranger , mais il y a un appel téléphonique pour toi ."
3866,i 'm single .,train,je suis célibataire .
3867,i 'm free on sunday .,train,je suis libre le dimanche .
3868,i 'm ready to face any challenge .,train,je suis prêt à affronter n'importe quel défi .
3869,i 'm willing to apologize .,train,je veux présenter mes excuses .
3870,i 'm surprised no one else heard the gunshots .,train,je suis surpris que personne d'autre n'ait entendu les coups de feu .
3871,i 'm sure that wo n't be necessary .,train,je suis certaine que ce ne sera pas nécessaire .
3872,i 'm glad you could make it .,train,je suis ravie que vous ayez pu venir .
3873,i 'm a baker .,train,je suis boulangère .
3874,"i 'm really busy today , otherwise i would accept .",train,"je suis vraiment occupé , aujourd'hui , sans quoi j'accepterais ."
3875,i 'm still single .,train,je suis toujours célibataire .
3876,i 'm stuck in a traffic jam .,train,je suis coincée dans un embouteillage .
3877,i 'm calling for help .,train,j'appelle de l'aide .
3878,i 'm sort of tired .,train,je suis en quelque sorte fatiguée .
3879,"i 'm sorry , i do n't let in people i do n't know .",train,"je suis désolé , je n'admets pas les gens que je ne connais pas ."
3880,i 'm actually kind of flattered .,train,je suis en fait plutôt flattée .
3881,i 'm not sure i 'm ready .,train,je ne suis pas sûr d'être prêt .
3882,i 'm not a doctor .,train,je ne suis pas docteur .
3883,i 'm not that worried .,train,je ne suis pas si préoccupée .
3884,i 'm too drunk .,train,je suis trop saoul .
3885,i 'm very worried about you .,train,je suis très inquiet à ton sujet .
3886,i 'm not cleaning that up .,train,je ne vais pas nettoyer ça .
3887,i 'm from romania .,train,je viens de roumanie .
3888,i 'm pretty sure tom lives on park street .,train,je suis presque sûre que tom habite sur park street .
3889,i 'm not sure if he saw it .,train,je ne suis pas sûre qu'il l'ait vue .
3890,i 'm certainly not your friend .,train,je ne suis certainement pas votre ami .
3891,i 'm sure i 've seen that guy somewhere before .,train,je suis certaine d'avoir déjà vu ce type quelque part .
3892,i 'm shy .,train,je suis timide .
3893,i 'm not going to tell you again .,train,je ne vais pas vous le répéter .
3894,i 'm not really angry .,train,je ne suis pas vraiment en colère .
3895,i 'm not very eager to go .,train,je n'ai pas trop envie d'y aller .
3896,i 'm going to hide somewhere near here .,train,je vais me cacher quelque part près d'ici .
3897,i 'm full .,train,je suis repu !
3898,i 'm just worried about my weight .,train,je me fais juste du souci au sujet de mon poids .
3899,i 'm totally confused .,train,je suis complètement embrouillé .
3900,i 'm feeling stressed .,train,je me sens stressée .
3901,i 'm longing to see him .,train,j'ai hâte de le voir .
3902,i 'm not avoiding you .,train,je ne suis pas en train de t'éviter .
3903,i 'm sorry i 'm so late .,train,je suis désolé d'être en retard .
3904,i 'm fighting .,train,je me bats .
3905,i 'm getting pretty tired of driving every morning .,train,je me lasse pas mal de conduire tous les matins .
3906,i 'm going to give you one more chance .,train,je vais vous donner une chance additionnelle .
3907,i 'm not letting you go .,train,pas question que je te laisse y aller .
3908,"i 'm sorry , i do n't have change .",train,"je regrette , je n'ai pas de monnaie ."
3909,i 'm motivated .,train,je suis motivé .
3910,i 'm here to listen .,train,je suis ici pour écouter .
3911,i 'm a bit short of money now .,train,je suis un peu à court d'argent en ce moment .
3912,i 'm not sure i want to do anything .,train,je ne suis pas certain de vouloir faire quoi que ce soit .
3913,i 'm not thinking clearly .,train,mes pensées ne sont pas claires .
3914,i 'm afraid even your friends ca n't save you now .,train,je crains que même vos amis ne puissent désormais vous sauver .
3915,i 'm worried about you .,train,je m'inquiète pour toi .
3916,i 'm not sure i can trust you .,train,je ne suis pas sûr de pouvoir me fier à vous .
3917,i 'm glad to see you 're happy .,train,je me réjouis de vous voir heureuses .
3918,i 'm sick of fish .,train,j'en ai marre du poisson !
3919,i 'm looking for my shoes . have you seen them ?,train,je cherche mes godasses . tu les as vues ?
3920,i 'm going to fight .,train,je vais me battre .
3921,i 'm happy you two are friends again .,train,je suis heureux que vous soyez à nouveau amis tous les deux .
3922,i 'm still sleepy .,train,je suis encore endormi .
3923,i 'm going to need someone to help me .,train,je vais avoir besoin de quelqu'un pour m'aider .
3924,i 'm going to build a fire .,train,je vais faire un feu .
3925,i 'm doing pretty well .,train,je vais assez bien .
3926,i 'm not a disbeliever .,train,je ne suis pas incroyant .
3927,i 'm not done with you yet .,train,je n'en ai pas encore fini avec toi .
3928,i 'm not a teacher .,train,je ne suis pas instituteur .
3929,i 'm afraid we ca n't rule out the possibility that she may have the disease .,train,je crains que nous ne puissions exclure la possibilité qu'elle puisse avoir la maladie .
3930,i 'm not ignoring you .,train,je ne suis pas en train de vous ignorer .
3931,i 'm smarter than you .,train,je suis plus intelligent que toi .
3932,i 'm still married .,train,je suis encore marié .
3933,i 'm your friend .,train,je suis ton ami .
3934,i 'm not worried about him .,train,je ne me fais pas de souci pour lui .
3935,i 'm the only one who can do that .,train,je suis le seul à pouvoir faire cela .
3936,i 'm not invited to parties .,train,on ne m'invite pas aux fêtes .
3937,i 'm having trouble focusing .,train,j'ai du mal à me concentrer .
3938,i 'm hungover .,train,j'ai la gueule de bois .
3939,i 'm really glad to hear that .,train,je suis vraiment heureux d'entendre ça .
3940,i 'm going to be gone soon .,train,je vais bientôt être partie .
3941,i 'm successful .,train,j'ai du succès .
3942,i 'm interested .,train,je suis intéressée .
3943,i 'm ready to go .,train,je suis prêt pour partir .
3944,i 'm sure that tom will do that .,train,je suis sûre que tom va le faire .
3945,i 'm delighted to meet you .,train,je suis ravie de te rencontrer .
3946,i 'm happy to be back .,train,je suis heureux d'être de retour .
3947,i 'm glad i invited you .,train,je suis heureuse de vous avoir invitée .
3948,i 'm pretty sure tom lives on park street .,train,je suis presque sûre que tom habite rue du parc .
3949,i 'm glad you did n't call tom .,train,je suis content que tu n'aies pas appelé tom .
3950,i 'm still busy .,train,je suis toujours occupé .
3951,i 'm not very patient .,train,je ne suis pas très patiente .
3952,i 'm an american citizen .,train,je suis un citoyen américain .
3953,i 'm on the way home .,train,je suis sur le chemin de la maison .
3954,i 'm having a hard time concentrating .,train,j'ai du mal à me concentrer .
3955,"i 'm sorry , but you 're not allowed to enter .",train,"je suis désolé , mais vous n'êtes pas autorisé à entrer ."
3956,i 'm just not very busy .,train,je ne suis simplement pas très occupée .
3957,i 'm dying of thirst .,train,je meurs de soif .
3958,i 'm going to go out this afternoon .,train,je vais sortir cet après-midi .
3959,i 'm a hero .,train,je suis un héros .
3960,i 'm very happy .,train,je suis très heureuse .
3961,i 'm not that fast .,train,je ne suis pas si rapide .
3962,i 'm sorry to bother you so often .,train,je suis désolée de te déranger si souvent .
3963,i 'm considering resigning .,train,je réfléchis à démissionner .
3964,i 'm sure that we 'll all miss her .,train,je suis certain qu'elle va tous nous manquer .
3965,i 'm being paid to do this .,train,on me paie pour faire ça .
3966,i 'm probably just being paranoid .,train,"il est probable que je suis juste paranoïaque , là ."
3967,i 'm going to give you one more chance .,train,je vais te donner une chance additionnelle .
3968,i 'm giving my old books away .,train,je donne mes vieux bouquins .
3969,i 'm very much aware of the danger .,train,je suis très conscient du danger .
3970,i 'm sure we can work this out .,train,je suis sûr que nous pouvons arranger cela .
3971,i 'm no quitter .,train,je ne baisse pas facilement les bras .
3972,i 'm no quitter .,train,je n'abandonne pas facilement .
3973,i 'm glad you could be here .,train,je suis contente que vous soyez là .
3974,i 'm proud of my brother .,train,je suis fière de mon frère .
3975,i 'm not very patient .,train,je ne suis pas très patient .
3976,i 'm the one who built this .,train,je suis celui qui a construit ceci .
3977,i 'm glad i invited you .,train,je suis heureuse de t'avoir invité .
3978,i 'm all out of ideas .,train,je suis dépourvue d'idées .
3979,i 'm rather surprised to hear it .,train,je suis plutôt surpris d'entendre cela .
3980,i 'm ok .,train,je vais bien .
3981,i 'm sick of listening to her complaints .,train,j'en ai ras le bol d'écouter ses récriminations .
3982,"i 'm sorry , i did n't recognize you .",train,"je suis désolé , je ne vous ai pas reconnu ."
3983,i 'm tired of losing .,train,j'en ai marre de perdre .
3984,"i 'm sorry , i did n't catch that .",train,"je suis désolée , je n'ai pas saisi cela ."
3985,i 'm your boss .,train,je suis votre chef .
3986,i 'm not good enough for you .,train,je ne suis pas assez bonne pour toi .
3987,i 'm sure that 's wrong .,train,je suis sûr que que c'est mal .
3988,i 'm willing to apologize .,train,je suis disposé à présenter mes excuses .
3989,i 'm studying kabuki drama .,train,j'étudie l'art dramatique du kabuki .
3990,i 'm going to sleep .,train,je vais dormir .
3991,i 'm a lot more comfortable now .,train,je suis beaucoup plus à l'aise maintenant .
3992,i 'm asking you as a friend .,train,je vous le demande en tant qu'amie .
3993,i 'm going to be your teacher .,train,je serai ton maître .
3994,i 'm smarter than you .,train,je suis plus élégant que vous .
3995,i 'm still not buying it .,train,je ne le gobe toujours pas .
3996,i 'm not in a position to give you advice .,train,je ne suis pas en position de vous conseiller .
3997,i 'm glad you 're here with me .,train,je me réjouis que tu sois ici avec moi .
3998,i 'm going to chop this tree down .,train,je vais couper cet arbre .
3999,i 'm about the same age as you .,train,j'ai à peu près le même âge que vous .
4000,i 'm not tired yet .,train,je ne suis pas encore fatiguée .
4001,i 'm not done with you .,train,moi je n'en ai pas fini avec toi .
4002,i 'm glad i got to see you again .,train,je suis heureux d'avoir eu l'occasion de vous revoir .
4003,i 'm considering going with them .,train,je réfléchis à aller avec eux .
4004,i 'm watching tv .,train,je suis en train de regarder la télévision .
4005,i 'm trying to figure out what you do for fun .,train,j'essaie de comprendre ce que vous faites pour vous amuser .
4006,i 'm afraid i do n't agree with you .,train,j'ai peur de ne pas être d'accord avec toi .
4007,i 'm too scared to say anything .,train,j'ai trop peur pour dire quoi que ce soit .
4008,i 'm going to take care of it for you .,train,je vais m'en occuper pour toi .
4009,i 'm not happy .,train,je ne suis pas content .
4010,i 'm happy with it .,train,je m'en contente .
4011,i 'm suspicious of everybody .,train,"tout le monde est , à mes yeux , suspect ."
4012,i 'm taking care of my grandfather,train,je prends soin de mon grand-père .
4013,"i 'm sorry , i could n't hear you .",train,"je suis désolée , je ne pouvais pas t'entendre ."
4014,i 'm willing to try eating anything you eat .,train,je suis prêt à essayer de manger tout ce que tu manges .
4015,i 'm just getting back to basics .,train,je reviens à l'essentiel .
4016,i 'm not good-looking .,train,je ne suis pas belle .
4017,i 'm beginning to feel guilty about it .,train,je commence à me sentir coupable à ce sujet .
4018,i 'm ready to leave now .,train,je suis prêt à partir maintenant .
4019,"i 'm a beginner , too .",train,moi aussi je suis un débutant .
4020,i 'm sorry that i have n't been able to be here for you .,train,je suis désolée d'avoir été dans l'incapacité d'être là pour toi .
4021,i 'm aware of the facts .,train,je suis consciente des faits .
4022,i 'm quite happy .,train,je suis assez heureuse .
4023,i 'm very serious .,train,je suis très sérieuse .
4024,i 'm making tea .,train,je prépare le thé .
4025,i 'm sorry to have bothered you .,train,je suis désolée de t'avoir dérangée !
4026,i 'm horrible with kids .,train,je suis horrible avec les gamins .
4027,i 'm being held hostage .,train,je suis retenue en otage .
4028,i 'm ok with having just one friend .,train,n'avoir qu'un ami me convient .
4029,i 'm just a little dizzy .,train,j'ai juste la tête qui tourne un peu .
4030,i 'm always careful .,train,je suis toujours prudent .
4031,i 'm responsible for tom 's safety .,train,je suis responsable de la sécurité de tom .
4032,i 'm sorry for not being more supportive when you needed me to be .,train,je suis désolée de ne pas vous avoir davantage soutenue lorsque vous en aviez besoin .
4033,i 'm going to have to call you right back .,train,je vais devoir te rappeler de suite .
4034,i 'm all out of tricks .,train,je suis à court d'expédients .
4035,i 'm pretty sure tom knows what he 's supposed to do .,train,je suis presque sûr que tom sait ce qu'il est censé faire .
4036,i 'm finnish .,train,je suis finlandaise .
4037,i 'm thinking about something else .,train,je suis en train de penser à autre chose .
4038,i 'm getting too old for this job .,train,je me fais trop vieux pour ce travail .
4039,i 'm glad you came over .,train,je me réjouis que vous soyez venus .
4040,i 'm having a very difficult time today .,train,"ma journée est très dure , aujourd'hui ."
4041,i 'm glad someone agrees with me for once .,train,"je suis heureuse que quelqu'un soit d'accord avec moi , pour une fois ."
4042,i 'm very frustrated .,train,je suis très frustré .
4043,"i 'm sorry , i do n't speak french .",train,"je suis désolée , je ne parle pas le français ."
4044,i 'm a deeply religious man and believe in life after death .,train,je suis un homme profondément croyant et je crois en une vie après la mort .
4045,i 'm thorough .,train,je suis minutieuse .
4046,i 'm really not interested in history .,train,je ne suis vraiment pas intéressé par l'histoire .
4047,i 'm sure tom was involved .,train,je suis sûre que tom a été impliqué .
4048,i 'm free .,train,je suis disponible .
4049,i 'm giving it to you for free .,train,je te le donne pour rien .
4050,i 'm too old for tom .,train,je suis trop âgé pour tom .
4051,i 'm pretty sure that tom did n't do that .,train,je suis presque sûre que tom n'a pas fait cela .
4052,i 'm still not impressed .,train,je ne suis toujours pas impressionnée .
4053,i 'm on my way home from work .,train,je suis sur le chemin de la maison en revenant du travail .
4054,i 'm attentive .,train,je suis attentive .
4055,i 'm glad to meet you .,train,je suis content de vous voir .
4056,i 'm going to put them in a room and let them battle it out .,train,je vais les mettre dans une pièce et les laisser se le disputer .
4057,i 'm sorry i dragged you into this .,train,je suis désolé de t'avoir entraîné là-dedans .
4058,i 'm gaining weight .,train,je prends du poids .
4059,i 'm not very good at it .,train,je n'y excelle pas .
4060,i 'm learning french .,train,je suis en train d'apprendre le français .
4061,"i 'm sorry , i do n't really remember .",train,"je suis désolée , je ne m'en souviens pas vraiment ."
4062,i 'm going to tell everybody .,train,je vais le dire à tout le monde .
4063,i 'm almost done . just give me a minute .,train,j'ai presque fini . donne-moi juste une minute .
4064,i 'm so tired that i ca n't walk any longer .,train,je suis tellement fatigué que je ne peux plus marcher .
4065,i 'm firing you .,train,je vous vire .
4066,i 'm sorry if i frightened you .,train,je suis désolé si je vous ai effrayées .
4067,i 'm no match for you .,train,je ne suis pas de taille à rivaliser avec vous .
4068,i 'm very upset .,train,je suis fort contrarié .
4069,i 'm dying to see him .,train,je désespère de le voir !
4070,i 'm sorry about last night .,train,je suis désolé à propos de la nuit dernière .
4071,i 'm too old for you .,train,je suis trop vieux pour vous .
4072,i 'm the guy who gave tom that hat .,train,je suis le gars qui a donné à tom ce chapeau .
4073,i 'm not going to name names .,train,je ne vais pas livrer de noms .
4074,i 'm not going to call tom .,train,je ne vais pas appeler tom .
4075,i 'm sure we can work this out .,train,je suis sûre que nous pouvons arranger ça .
4076,i 'm pleased with my new jacket .,train,je suis content de ma nouvelle veste .
4077,i 'm pretty sure that tom does n't have a brother .,train,je suis pratiquement sûr que tom n'a pas de frère .
4078,i 'm studying french .,train,je suis en train d'étudier le français .
4079,i 'm a night owl .,train,je suis un oiseau de nuit .
4080,i 'm not sure i understand .,train,je ne suis pas sûr de comprendre .
4081,i 'm sorry i do n't have my watch with me .,train,"désolé , je n'ai pas ma montre avec moi ."
4082,i 'm surviving .,train,je survis .
4083,i 'm not persuaded .,train,je n'en suis pas persuadé .
4084,i 'm majoring in sociology .,train,je me spécialise en sociologie .
4085,i 'm the youngest child .,train,je suis le plus jeune enfant .
4086,i 'm not sure i follow what you 're saying .,train,je ne suis pas sûr de suivre ce que tu dis .
4087,i 'm disappointed in you .,train,vous me décevez .
4088,i 'm still mad at her .,train,je suis toujours furieux après elle .
4089,i 'm lucky to have you as a friend .,train,je suis chanceux de t'avoir comme amie .
4090,i 'm a married woman .,train,je suis une femme mariée .
4091,i 'm not saying that you 're not beautiful .,train,je ne dis pas que vous n'êtes pas belles .
4092,i 'm not a cat person .,train,les chats ne sont pas mon truc .
4093,i 'm not ready to fight .,train,je ne suis pas prêt à me battre .
4094,i 'm so sorry .,train,je suis tellement désolé !
4095,i 'm selfish .,train,je suis égoïste .
4096,i 'm somewhat dizzy .,train,j'ai un peu la tête qui tourne .
4097,i 'm sorry . i know i overreacted .,train,je suis désolé . je sais que j'ai réagi de façon exagérée .
4098,i 'm sorry . i did n't mean to make you cry .,train,je suis désolée . je ne voulais pas te faire pleurer .
4099,i 'm lazy .,train,je suis fainéante .
4100,i 'm sorry i yelled at you .,train,je suis désolée de t'avoir crié après .
4101,i 'm not afraid of ghosts .,train,je n'ai pas peur des fantômes .
4102,i 'm not allowed to help you .,train,je ne suis pas autorisée à t'aider .
4103,i 'm powerless .,train,je suis désarmée .
4104,i 'm only doing this for your own good .,train,je ne le fais que pour votre bien à vous .
4105,i 'm glad to see you 're ok .,train,je me réjouis de voir que tu vas bien .
4106,i 'm glad to hear that .,train,je me réjouis de l'entendre .
4107,i 'm not as rich as i was .,train,je ne suis pas aussi riche que je le fus .
4108,i 'm afraid i ca n't help you .,train,je crains de ne pouvoir t'aider .
4109,i 'm proud of you all .,train,je suis fière de vous tous .
4110,i 'm not sure how to answer this .,train,je ne suis pas sûr de quoi répondre à cette question .
4111,i 'm almost finished reading this book .,train,j'ai presque fini de lire ce livre .
4112,"i 'm sorry , i ca n't help you .",train,je suis désolé de ne pas pouvoir t'aider .
4113,i 'm not happy with this situation .,train,je ne suis pas content de cette situation .
4114,i 'm just being honest .,train,je suis simplement franche .
4115,i 'm not sure anymore .,train,je n'en suis plus sûre .
4116,i 'm irreplaceable .,train,je suis irremplaçable .
4117,i 'm greedy .,train,je suis gourmand .
4118,i 'm by your side .,train,je suis à votre côté .
4119,i 'm still thinking about it .,train,j'y pense encore .
4120,i 'm so overworked .,train,je suis tellement débordé .
4121,i 'm confused .,train,je me mélange les pinceaux .
4122,i 'm just looking .,train,je ne fais que regarder .
4123,i 'm glad things went so well .,train,je me réjouis que les choses se soient passées aussi bien .
4124,i 'm not home right now .,train,je ne suis pas chez moi à l'heure actuelle .
4125,i 'm sorry things did n't work out .,train,je suis désolée que les choses n'aient pas fonctionné .
4126,i 'm going downtown .,train,je me rends en ville .
4127,i 'm not a fool .,train,je ne suis pas idiot .
4128,"i 'm sorry , i did n't hear you .",train,"je suis désolée , je ne t'ai pas entendu ."
4129,"i 'm the type who gets nervous in front of people , so i 'm bad at speech making .",train,"je suis du genre à devenir nerveux devant un public , donc je ne suis pas bon pour faire des discours ."
4130,i 'm not particularly impressed .,train,je ne suis pas particulièrement impressionnée .
4131,i 'm eating here .,train,je mange ici .
4132,i 'm glad i invited you .,train,je suis heureux de t'avoir invitée .
4133,i 'm overreacting .,train,je sur-réagis .
4134,i 'm not worried about you .,train,je ne me fais pas de souci à ton sujet .
4135,i 'm not safe in here .,train,"je ne suis pas en sécurité , là-dedans ."
4136,i 'm not sure what you were thinking .,train,je ne suis pas certaine de ce que vous pensiez .
4137,i 'm careful .,train,je suis prudent .
4138,i 'm methodical .,train,je suis méthodique .
4139,i 'm thrilled .,train,je suis ravie .
4140,i 'm in no hurry to leave .,train,je ne suis pas pressé de partir .
4141,i 'm entitled to my own opinion .,train,je suis en droit à ma propre opinion .
4142,i 'm doing this for them .,train,je le fais pour elles .
4143,i 'm still not sure i can do that .,train,je ne suis toujours pas certaine de pouvoir faire cela .
4144,i 'm going to hit the hay .,train,je vais me pieuter .
4145,i 'm sorry but i ca n't attend the meeting in person .,train,je m'excuse mais je ne pourrai participer en personne à la réunion .
4146,i 'm pretty hungry since i have n't eaten since early this morning .,train,j'ai assez faim parce que je n'ai pas mangé depuis tôt ce matin .
4147,i 'm not like you .,train,je ne suis pas comme vous .
4148,i 'm obviously very disappointed .,train,je suis évidemment très déçu .
4149,i 'm glad you were n't injured .,train,je me réjouis que vous n'ayez pas été blessés .
4150,i 'm too sleepy to drive .,train,je suis trop somnolent pour conduire .
4151,i 'm stuck in a traffic jam .,train,je suis coincé dans un embouteillage .
4152,"i 'm sorry , but i 'm busy right now .",train,je suis désolé mais pour l'instant je suis occupé .
4153,i 'm on a diet .,train,je suis au régime .
4154,i 'm sorry for not being more supportive when you needed me to be .,train,je suis désolé de ne pas t'avoir davantage soutenu lorsque tu en avais besoin .
4155,"i 'm retired , too .",train,je suis également pensionnée .
4156,i 'm lying on the grass .,train,je suis allongée dans l'herbe .
4157,i 'm ready if you are .,train,je suis prête si vous l'êtes .
4158,i 'm not leaving .,train,je ne m'en vais pas .
4159,i 'm a bank clerk .,train,je suis employé de banque .
4160,i 'm not surprised you do n't remember .,train,je ne suis pas surprise que tu ne t'en souviennes pas .
4161,i 'm glad to be here .,train,je suis contente d'être là .
4162,i 'm rather busy .,train,je suis plutôt occupé .
4163,i 'm not miserable .,train,je ne suis pas malheureuse .
4164,i 'm glad to see that you 're studying harder than you used to .,train,je me réjouis de voir que vous étudiez avec davantage d'application que vous ne le faisiez .
4165,i 'm surprised to see you smoking . you did n't used to .,train,ça me surprend de te voir fumer . tu n'en avais pas l'habitude .
4166,i 'm not cranky .,train,je ne suis pas grincheuse .
4167,i 'm visiting a friend of mine in the hospital .,train,je rends visite à un ami à moi à l'hôpital .
4168,i 'm sorry if i disturbed you .,train,je suis désolée si je vous ai dérangés .
4169,i 'm no friend of yours .,train,je ne compte pas au nombre de vos amies .
4170,i 'm not a perfectionist .,train,je ne suis pas perfectionniste .
4171,i 'm starting to have fun on my new job .,train,je commence à prendre du plaisir dans mon nouveau travail .
4172,i 'm going to see tom today .,train,je vais voir tom aujourd'hui .
4173,i 'm a little bit hungry .,train,j'ai un petit peu faim .
4174,i 'm taking a couple of days off .,train,je pars en vacances pour quelques jours .
4175,i 'm not going to lose .,train,je ne vais pas perdre .
4176,i 'm really proud of it .,train,j'en suis vraiment fier .
4177,i 'm going to stop trying to be friendly with you .,train,je vais arrêter d'essayer d'être amicale avec toi .
4178,i 'm hanging a picture of my grandmother on the wall .,train,j'accroche au mur un portrait de ma grand-mère .
4179,i 'm going to izu over the weekend .,train,j'irai à izu pendant le week-end .
4180,i 'm not taking any chances .,train,je ne vais pas prendre le moindre risque .
4181,i 'm looking forward to seeing you soon .,train,je suis impatiente de te voir bientôt .
4182,i 'm dissatisfied .,train,je ne suis pas content .
4183,i 'm a free man .,train,je suis un homme libre .
4184,i 'm ready if you are .,train,je suis prêt si vous l'êtes .
4185,i 'm not drinking tonight .,train,"je ne bois pas , ce soir ."
4186,i 'm tired of all your fussing .,train,j'en ai marre de tous tes chichis .
4187,i 'm glad you brought that up .,train,je suis ravie que tu aies mis cela sur la table .
4188,i 'm sure you 'll tell me what i want to know .,train,je suis sûre que vous me raconterez ce que je veux savoir .
4189,i 'm no friend of yours .,train,je ne suis pas ton amie .
4190,i 'm not very confident .,train,je n'ai pas trop confiance .
4191,i 'm sorry you got dragged into this .,train,je suis désolé que tu aies été entraînée là-dedans .
4192,i 'm not worried about money .,train,je ne suis pas inquiet pour l'argent .
4193,i 'm no use to anyone .,train,je ne suis d'aucune utilité à qui que ce soit .
4194,i 'm unambitious .,train,je suis dépourvue d'ambition .
4195,i 'm being held hostage .,train,je suis retenu en otage .
4196,i 'm sorry to bother you so often .,train,je suis désolée de t'ennuyer si souvent .
4197,i 'm depending on you .,train,je dépends de toi .
4198,i 'm looking after myself .,train,je prends soin de moi .
4199,i 'm going back to college .,train,je retourne à la fac .
4200,"i 'm sorry , we 're completely sold out .",train,"je suis désolé , nous avons tout vendu ."
4201,i 'm pleased with their performance .,train,je suis satisfait de leur représentation .
4202,i 'm just following orders .,train,je ne fais qu'obéir aux ordres .
4203,i 'm glad to be of some help to you .,train,je suis ravie de pouvoir vous aider .
4204,i 'm not sleeping well .,train,je ne dors pas bien .
4205,i 'm a bit tipsy .,train,je suis un peu éméchée .
4206,i 'm a little disappointed .,train,je suis quelque peu déçue .
4207,i 'm sure tom will be home soon .,train,je suis sûr que tom sera bientôt à la maison .
4208,"i 'm really bad with names , but i never forget a face .",train,"je suis vraiment nul avec les noms , mais je n'oublie jamais un visage ."
4209,i 'm good at japanese .,train,je parle bien japonais .
4210,i 'm sorry i 've kept you waiting so long .,train,"je vous ai fait attendre longtemps , je vous prie de m'excuser ."
4211,i 'm not good at this .,train,je ne suis pas bon à ça .
4212,i 'm disappointed .,train,je suis déçu .
4213,i 'm rational .,train,je suis rationnelle .
4214,i 'm glad you see it that way .,train,je me réjouis que vous le voyiez ainsi .
4215,i 'm all right .,train,je vais bien .
4216,i 'm not pressed for money .,train,je ne suis pas en mal d'argent .
4217,i 'm losing weight .,train,je perds du poids .
4218,i 'm just as confused as you are .,train,je suis aussi perplexe que vous l'êtes .
4219,i 'm tired of it .,train,j'en ai ras le bol .
4220,i 'm not worried about them .,train,je ne me fais pas de souci à leur sujet .
4221,i 'm getting tired of your complaints .,train,j'en ai marre de tes plaintes .
4222,i 'm still having the same dream about drowning .,train,j'ai toujours ce même rêve de noyade .
4223,i 'm happy you liked it .,train,je suis heureuse que tu l'aies aimé .
4224,i 'm not sure if he saw it .,train,je ne suis pas sûr qu'il l'ait vue .
4225,i 'm not your friend .,train,je ne suis pas votre ami .
4226,i 'm lucky to have you as a friend .,train,je suis chanceux de vous avoir comme amie .
4227,i 'm glad i could help out .,train,je suis content d'avoir pu aider .
4228,i 'm your lawyer .,train,je suis votre avocat .
4229,i 'm not presentable .,train,je ne suis pas présentable .
4230,i 'm not staying here .,train,je ne vais pas rester ici .
4231,i 'm afraid he will never admit his guilt .,train,je crains qu'il ne reconnaisse jamais sa culpabilité .
4232,i 'm really tired today .,train,je suis vraiment très fatigué aujourd'hui .
4233,i 'm glad that you can come .,train,je suis heureux que tu puisses venir .
4234,i 'm sorry to have bothered you .,train,je suis désolée de vous avoir dérangée !
4235,i 'm the one who met him .,train,je suis celui qui l'a rencontré .
4236,i 'm at the airport now .,train,je suis maintenant à l'aéroport .
4237,i 'm looking into getting one .,train,je me renseigne pour en acquérir un .
4238,i 'm terrible at languages .,train,je suis nul en langues .
4239,i 'm alone .,train,je suis seule .
4240,i 'm beginning to see what you mean .,train,je commence à voir ce que tu veux dire .
4241,i 'm very upset .,train,je suis très contrarié .
4242,i 'm absolutely certain of it .,train,j'en suis absolument certain .
4243,i 'm tired of waiting in line .,train,je suis fatigué de faire la file .
4244,i 'm popular .,train,je suis populaire .
4245,i 'm not good at fishing .,train,je ne suis pas un bon pêcheur .
4246,i 'm on my way .,train,je suis en chemin .
4247,i 'm scheduled to have lunch with him .,train,il est prévu que je déjeune avec lui .
4248,i 'm motivated .,train,je suis motivée .
4249,i 'm adding the finishing touches now .,train,je suis en train d'ajouter les touches finales .
